Provinces,X,Y
Aceh,356,89
Sumatera Utara,-318,57
Riau,-271,18
Sumatera Barat,-295,2
Jambi,-253,-20
Bengkulu,-272,-45
Lampung,-208,-75
Sumatera Selatan,-231,-38
Bangka Belitung,-195,-24
Banten,-206,-103
Dki Jakarta,-186,-91
Jawa Barat,-175,-110
Jawa Tengah,-135,-114
Yogyakarta,-124,-130
Jawa Timur,-89,-120
Bali,-34,-137
Nusa Tenggara Barat,5,-138
Nusa Tenggara Timur,67,-140
Papua Selatan,361,-111
Papua Pegunungan,367,-76
Papua Tengah,311,-62
Papua,344,-34
Papua Barat,264,-21
Maluku,203,-46
Maluku Utara,174,25
Sulawesi Utara,119,31
Gorontalo,78,23
Sulawesi Tengah,54,-11
Sulawesi Barat,21,-36
Sulawesi Selatan,42,-67
Sulawesi Tenggara,82,-64
Kalimantan Selatan,-31,-46
Kalimantan Tengah,-76,-24
Kalimantan Barat,-123,16
Kalimantan Timur,-17,20
Kalimantan Utara,-16,74
Kepulauan Riau,-193,72
