,0
0,Aceh
1,Sumatera Utara
2,Riau
3,Sumatera Barat
4,Bengkulu
5,Lampung
6,Sumatera Selatan
7,Banten
8,Jawa Barat
9,Jawa Tengah
10,Jawa Timur
11,Bali
12,Nusa Tenggara Barat
13,Nusa Tenggara Timur
14,Papua Selatan
15,Papua Pegunungan
16,Papua Tengah
17,Maluku
18,Maluku Utara
19,Sulawesi Utara
20,Gorontalo
21,Sulawesi Tengah
22,Sulawesi Barat
23,Sulawesi Selatan
24,Sulawesi Tenggara
25,Kalimantan Selatan
26,Kalimantan Tengah
27,Kalimantan Barat
28,Kalimantan Timur
29,Kalimantan Utara
30,Kepulauan Riau
